nombre_cancion,Artista,Popularidad,Fecha_de_lanzamiento,Genero,Subgenero,Bailabilidad,Energia,Modalidad,Habladas,Positividad,Tempo,Duracion_Sg
No Me Acuerdo,Thalía,75,9/11/2018,latin,reggaeton,84%,78%,0,10%,75%,94,217
La Boca,Mau y Ricky,80,3/05/2019,latin,reggaeton,62%,80%,1,11%,76%,185,206
Bonita,Juanes,78,6/09/2019,latin,reggaeton,75%,88%,1,51%,96%,157,147
Destino,Greeicy,71,15/03/2019,latin,reggaeton,71%,76%,1,9%,71%,188,180
Tutu - Remix,Camilo,77,15/10/2019,latin,reggaeton,73%,76%,1,43%,87%,154,164
Desconocidos,Mau y Ricky,79,12/10/2018,latin,reggaeton,71%,77%,1,17%,71%,174,204
Detente,Mike Bahía,4,15/11/2019,latin,reggaeton,74%,59%,1,35%,36%,171,181
En Cero,Yandel,73,24/05/2019,latin,reggaeton,73%,78%,1,39%,63%,93,223
Cariño Mío,Chyno Miranda,63,26/07/2019,latin,reggaeton,86%,75%,0,14%,87%,112,197
Señorita,Shawn Mendes,93,21/06/2019,latin,reggaeton,76%,54%,0,29%,75%,116,190
Ya No Soy Así,Cruz,61,28/06/2019,latin,reggaeton,80%,75%,1,10%,54%,100,177
A Tu Manera [CORBATA],Sofia Reyes,67,11/10/2019,latin,reggaeton,73%,77%,0,87%,57%,176,174
Enseñame a Soñar - Original Mix,DJ Goozo,65,19/07/2019,latin,reggaeton,98%,92%,1,76%,25%,128,240
Mona Lisa,Nacho,66,31/05/2019,latin,reggaeton,82%,78%,1,56%,71%,94,185
Ganitas,Rombai,64,23/08/2019,latin,reggaeton,75%,77%,1,67%,81%,173,215
Haz Lo Que Quieras,Haze,67,22/11/2019,latin,reggaeton,71%,78%,0,43%,78%,100,231
Buena Vibra,Mario Bautista,64,6/12/2019,latin,reggaeton,77%,72%,1,92%,69%,105,159
De Tranquilote,Danny Romero,74,28/06/2019,latin,reggaeton,68%,67%,1,95%,89%,79,177
Vallenato Apretao,Silvestre Dangond,60,25/10/2019,latin,reggaeton,79%,79%,1,84%,58%,90,158
I Don't Care (with Justin Bieber),Ed Sheeran,90,10/05/2019,latin,reggaeton,80%,68%,1,44%,84%,101,219
Celosa,Alejandro Gonzalez,54,22/03/2019,latin,reggaeton,69%,94%,1,41%,78%,92,180
Dance Monkey,Tones and I,43,10/05/2019,latin,reggaeton,82%,59%,0,97%,54%,98,209
Fuera De Mi Mente,Lérica,74,5/11/2019,latin,reggaeton,74%,94%,1,10%,70%,93,181
Don't Start Now,Dua Lipa,97,31/10/2019,latin,reggaeton,79%,79%,0,84%,68%,123,183
Memories,Maroon 5,98,20/09/2019,latin,reggaeton,76%,32%,1,55%,58%,91,189
Cuando Te Besé,Becky G,76,2/08/2018,latin,reggaeton,77%,73%,0,21%,30%,100,254
Traicionera,Sebastian Yatra,72,18/05/2018,latin,reggaeton,78%,68%,1,47%,67%,91,229
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,74,2/12/2016,latin,reggaeton,64%,87%,1,15%,77%,169,307
A Ella,KAROL G,57,5/05/2017,latin,reggaeton,73%,77%,1,18%,59%,181,198
PPP,Kevin Roldan,72,7/09/2018,latin,reggaeton,79%,65%,1,11%,71%,92,129
Me Rehúso,Danny Ocean,77,16/06/2017,latin,reggaeton,74%,80%,1,68%,43%,104,205
Otra vez (feat. J Balvin),Zion & Lennox,74,30/09/2016,latin,reggaeton,83%,77%,1,10%,70%,96,209
Bella,Wolfine,71,29/12/2017,latin,reggaeton,91%,49%,1,74%,84%,94,197
Asesina - Original mix,Brytiago,67,1/05/2018,latin,reggaeton,84%,70%,0,23%,50%,94,187
Se Preparó,Ozuna,75,25/08/2017,latin,reggaeton,74%,82%,1,85%,69%,171,188
Ponle,Rvssian,73,6/09/2018,latin,reggaeton,86%,77%,0,19%,59%,94,164
Hey DJ,CNCO,71,6/04/2018,latin,reggaeton,80%,81%,1,84%,47%,90,206
Solo,Amenazzy,68,19/09/2017,latin,reggaeton,64%,51%,0,28%,27%,196,231
La Rompe Corazones,Daddy Yankee,72,13/01/2017,latin,reggaeton,69%,86%,0,55%,89%,176,204
Bonita,J Balvin,74,2/06/2017,latin,reggaeton,78%,87%,0,41%,87%,96,265
3 A.M.,Jesse & Joy,71,18/08/2017,latin,reggaeton,70%,84%,1,88%,62%,10,183
Báilame,Nacho,5,14/04/2017,latin,reggaeton,82%,87%,1,18%,56%,96,207
Suena El Dembow,Joey Montana,65,1/09/2017,latin,reggaeton,70%,86%,1,55%,73%,91,195
Me llamas,Piso 21,53,11/05/2018,latin,reggaeton,78%,74%,0,50%,66%,93,188
Quiero Repetir,Ozuna,71,25/08/2017,latin,reggaeton,61%,75%,0,37%,48%,97,200
Vente Pa' Ca,Ricky Martin,73,23/09/2016,latin,reggaeton,66%,92%,0,23%,53%,99,259
Mamita,CNCO,66,6/04/2018,latin,reggaeton,80%,71%,1,62%,49%,90,174
Perro Fiel (feat. Nicky Jam),Shakira,71,26/05/2017,latin,reggaeton,75%,76%,1,20%,89%,183,195
Sigo Extrañándote,J Balvin,6,24/06/2016,latin,reggaeton,89%,85%,1,24%,92%,93,201
Fanática Sensual,Plan B,62,25/08/2014,latin,reggaeton,79%,85%,1,48%,91%,164,240
El Clavo,Prince Royce,63,16/03/2018,latin,reggaeton,83%,78%,0,13%,66%,80,172
Me Niegas,Baby Rasta & Gringo,64,21/08/2015,latin,reggaeton,68%,71%,1,50%,88%,173,201
Imposible,Luis Fonsi,74,19/10/2018,latin,reggaeton,79%,76%,1,80%,91%,90,163
La Pregunta,J Alvarez,2,20/09/2011,latin,reggaeton,74%,65%,0,14%,81%,172,269
More,Zion,3,20/08/2012,latin,reggaeton,69%,78%,0,10%,87%,172,240
Como Antes (feat. Wisin),Yandel,67,8/09/2017,latin,reggaeton,81%,88%,0,17%,75%,94,210
Corazon De Seda (feat. Ozuna),Klasico,63,12/02/2016,latin,reggaeton,84%,69%,0,94%,83%,90,186
Te Quiero Pa´Mi,Don Omar,65,11/11/2016,latin,reggaeton,76%,81%,1,59%,66%,88,211
Downtown,Anitta,75,19/11/2017,latin,reggaeton,78%,68%,0,14%,62%,166,193
El Perdedor,Maluma,65,30/10/2015,latin,reggaeton,70%,73%,0,10%,88%,173,206
Me Reclama,Mambo Kingz,66,23/01/2016,latin,reggaeton,76%,72%,0,83%,71%,17,187
Madura (feat. Bad Bunny),Cosculluela,71,13/04/2018,latin,reggaeton,88%,56%,0,20%,75%,88,190
Alguien Robo,Sebastian Yatra,3,10/02/2017,latin,reggaeton,75%,92%,1,8%,65%,92,223
Ay Vamos,J Balvin,2,22/07/2014,latin,reggaeton,72%,79%,0,97%,89%,173,226
Obsesionado,Farruko,63,23/10/2015,latin,reggaeton,70%,88%,0,80%,67%,169,211
Síguelo Bailando,Ozuna,73,25/08/2017,latin,reggaeton,86%,66%,0,61%,63%,98,226
Si ella quisiera,Justin Quiles,62,10/03/2017,latin,reggaeton,77%,61%,0,9%,63%,9,212
Hula Hoop,Daddy Yankee,61,3/03/2017,latin,reggaeton,80%,82%,1,80%,95%,176,236
Una Lady Como Tú,Manuel Turizo,73,10/04/2017,latin,reggaeton,79%,48%,1,43%,86%,94,213
Falsas Mentiras (feat. Ozuna),Los De La Nazza,58,28/08/2015,latin,reggaeton,64%,68%,0,15%,62%,87,269
Nunca Me Olvides - Remix,Yandel,55,10/02/2017,latin,reggaeton,80%,81%,1,65%,59%,95,220
Hipnotízame,Wisin & Yandel,61,1/01/2012,latin,reggaeton,80%,83%,1,12%,57%,79,243
Te busco (feat. Nicky Jam),Cosculluela,58,14/10/2016,latin,reggaeton,74%,77%,1,11%,79%,8,233
Nena Fichu,Farruko,58,22/02/2016,latin,reggaeton,69%,69%,0,48%,89%,171,208
Noches de Aventura,Ozuna,64,25/08/2017,latin,reggaeton,76%,75%,1,15%,64%,183,236
Safari,J Balvin,71,24/06/2016,latin,reggaeton,69%,68%,1,32%,60%,180,205
No Te Vas - Remix,Nacho,54,3/04/2018,latin,reggaeton,70%,77%,1,18%,80%,187,226
Baila Conmigo,Manuel Turizo,53,7/12/2016,latin,reggaeton,88%,35%,1,15%,56%,90,228
Dile Que Tu Me Quieres,Ozuna,72,25/08/2017,latin,reggaeton,77%,76%,1,53%,86%,88,226
Como Yo Le Doy - Remix,Pitbull,1,10/06/2014,latin,reggaeton,77%,86%,1,80%,82%,97,262
Peligrosa,J Balvin,66,25/05/2018,latin,reggaeton,77%,76%,0,5%,68%,105,202
Gasolina,Daddy Yankee,76,13/07/2004,latin,reggaeton,86%,80%,1,62%,75%,96,192
La Nueva Y La Ex,Daddy Yankee,0,29/10/2013,latin,reggaeton,77%,94%,1,58%,63%,98,196
Dale Don Dale,Don Omar,2,20/06/2004,latin,reggaeton,83%,85%,0,79%,81%,95,214
Culo,Pitbull,50,29/05/2012,latin,reggaeton,86%,66%,0,36%,97%,59,219
Rompe,Daddy Yankee,1,1/01/2006,latin,reggaeton,75%,81%,0,42%,48%,88,186
Donde Estan Las Gatas (feat. Nicky Jam),Daddy Yankee,68,9/07/2013,latin,reggaeton,84%,96%,0,64%,76%,109,170
Ella Me Levanto,Daddy Yankee,0,4/06/2007,latin,reggaeton,76%,90%,0,64%,76%,100,209
Pasarela,Daddy Yankee,59,1/01/2012,latin,reggaeton,84%,89%,1,46%,71%,121,193
Perros Salvajes,Daddy Yankee,57,1/01/2012,latin,reggaeton,81%,80%,0,15%,77%,88,190
Ella No Sigue Modas,Juan Magán,45,14/05/2012,latin,reggaeton,69%,85%,1,69%,90%,128,234
Bailando por Ahi,Juan Magán,56,14/05/2012,latin,reggaeton,73%,73%,0,5%,97%,129,180
Verano Azul,Juan Magán,63,1/01/2009,latin,reggaeton,89%,87%,1,12%,84%,126,190
Pam Pam,Wisin & Yandel,49,1/01/2008,latin,reggaeton,87%,69%,1,11%,74%,95,227
Taboo,Don Omar,1,1/01/2010,latin,reggaeton,44%,88%,1,64%,81%,125,292
Tacata' - Radio Edit,Tacabro,56,3/07/1905,latin,reggaeton,82%,85%,1,12%,61%,126,210
Llamado De Emergencia,Daddy Yankee,1,1/01/2008,latin,reggaeton,70%,91%,0,35%,77%,97,239
Que Tengo Que Hacer,Daddy Yankee,0,1/01/2008,latin,reggaeton,76%,89%,0,67%,95%,108,218
¿Qué Tengo Que Hacer?,Daddy Yankee,67,12/08/2008,latin,reggaeton,76%,89%,0,64%,95%,107,218
Mayor Que Yo 3,Luny Tunes,62,23/10/2015,latin,reggaeton,72%,96%,0,16%,54%,91,304
Niña Bonita,Chino & Nacho,1,1/01/2009,latin,reggaeton,67%,92%,1,11%,64%,120,217
Mambo Para Bailar (feat. Arcangel),Fuego,41,29/01/2016,latin,reggaeton,82%,63%,0,57%,93%,119,210
Una Vaina Loca,Fuego,0,3/07/1905,latin,reggaeton,80%,88%,0,43%,66%,116,262
Entre La Playa Ella Y Yo (feat. Vat 18k),Big Yamo,0,7/02/2012,latin,reggaeton,75%,86%,1,15%,97%,84,186
Guaya Guaya,Don Omar,49,12/08/2014,latin,reggaeton,69%,87%,1,24%,69%,183,194
Turn Me On,Kevin Lyttle,65,30/03/2004,latin,reggaeton,68%,68%,1,36%,88%,106,192
Bata Bata 2,Latin Fresh,0,1/01/2006,latin,reggaeton,77%,86%,1,29%,91%,96,208
Mi Vecinita,Plan B,58,19/07/2014,latin,reggaeton,76%,84%,1,75%,87%,93,183
Pegao,Wisin & Yandel,38,1/01/2006,latin,reggaeton,79%,82%,1,25%,81%,96,232
"Super Sin Capa (Remix) [feat. Secreto El Famoso Bibero, Lirico En La Casa, Musicologo & Bulova]",El Super Nuevo,38,18/07/2018,latin,reggaeton,87%,74%,1,62%,30%,115,313
Suavemente,Elvis Crespo,67,21/07/2008,latin,reggaeton,81%,88%,1,69%,92%,124,266
"Tumba La Casa (Remix) [feat. Daddy Yankee, Nicky Jam, Farruko, Arcangel, De La Ghetto, Zion & Ñengo Flow]",Alexio,61,15/08/2015,latin,reggaeton,77%,65%,1,23%,85%,166,477
La Playa,Myke Towers,79,9/04/2019,latin,reggaeton,80%,68%,0,15%,35%,140,207
Hasta Abajo,Kevin Roldan,69,26/07/2019,latin,reggaeton,70%,67%,1,37%,64%,169,229
Mi Error,Eladio Carrion,68,7/02/2019,latin,reggaeton,57%,63%,1,60%,34%,167,215
Detective,Rauw Alejandro,71,8/07/2019,latin,reggaeton,79%,79%,1,4%,48%,95,204
Ontas?,Alex Rose,58,10/05/2019,latin,reggaeton,73%,66%,1,10%,69%,179,217
Recuerdos,Juhn,66,1/02/2019,latin,reggaeton,77%,63%,1,22%,45%,174,221
La Forma en Que Me Miras,Super Yei,77,4/08/2018,latin,reggaeton,66%,66%,1,19%,57%,189,307
Sígueme - Remix,Feid,66,17/05/2019,latin,reggaeton,69%,52%,0,24%,66%,86,201
Deja Que Fluya,Lary Over,64,26/07/2019,latin,reggaeton,63%,59%,0,24%,36%,171,193
La Carta,Jamby el Favo,62,14/12/2018,latin,reggaeton,45%,63%,1,33%,86%,85,149
No,Milly,61,14/06/2019,latin,reggaeton,73%,68%,1,13%,57%,98,245
No Es Justo,Xcelencia,50,22/11/2019,latin,reggaeton,81%,87%,1,13%,60%,95,154
Todos Ven,Alex Rose,64,25/10/2019,latin,reggaeton,83%,59%,0,11%,51%,91,193
Gan-Ga,Bryant Myers,74,26/07/2019,latin,reggaeton,86%,52%,0,42%,38%,89,194
Shorty,Jerry Di,57,19/07/2019,latin,reggaeton,93%,75%,0,15%,74%,96,184
LLORAS,Cauty,56,23/10/2019,latin,reggaeton,83%,62%,1,48%,83%,92,193
Repetirlo,Diamond la Mafia,44,12/08/2019,latin,reggaeton,80%,69%,1,11%,43%,100,193
Sigue Bailandome,Yannc,72,19/10/2018,latin,reggaeton,80%,69%,1,10%,68%,106,352
No Me Equivoqué,Lenny Tavárez,63,14/12/2018,latin,reggaeton,75%,70%,1,21%,59%,173,192
Luz Apaga,Ozuna,69,16/11/2018,latin,reggaeton,61%,79%,1,17%,66%,19,245
Noche Loca Remix,Oken,61,21/12/2018,latin,reggaeton,81%,64%,1,63%,48%,9,399
Somos Panas,Dejota2021,48,8/05/2019,latin,reggaeton,86%,48%,0,15%,61%,101,227
Reset,LAGOS,48,19/07/2019,latin,reggaeton,70%,79%,0,75%,53%,100,188
No Podemos - Remix,Ele A El Dominio,62,10/05/2019,latin,reggaeton,87%,44%,1,46%,67%,99,240
Bésame,Gian Varela,48,25/04/2019,latin,reggaeton,87%,52%,0,22%,42%,98,171
Me Enredas,Leebrian,37,2/04/2019,latin,reggaeton,84%,45%,1,9%,63%,160,159
Lluvia,Genio,38,22/11/2019,latin,reggaeton,66%,67%,0,39%,68%,175,217
Mimosas,LATENIGHTJIGGY,53,30/08/2019,latin,reggaeton,59%,75%,0,31%,46%,177,185
Darte Remix,Alex Rose,71,27/07/2018,latin,reggaeton,81%,63%,0,94%,57%,154,512
Necesito,KBM,25,21/06/2019,latin,reggaeton,72%,70%,0,36%,46%,193,183
La Aventura,BB Nobre,36,29/03/2019,latin,reggaeton,74%,62%,1,15%,61%,179,200
Abusadora,Almighty,65,7/06/2019,latin,reggaeton,89%,67%,1,18%,66%,100,252
El Recuerdo,Mora,0,12/04/2019,latin,reggaeton,71%,54%,0,35%,50%,18,186
"No Me Ignores (with Cazzu & Rauw Alejandro, feat. Myke Towers & Eladio Carrión)",Jay Menez,65,17/10/2019,latin,reggaeton,70%,63%,0,33%,71%,176,291
Los Puti (with Lele Pons & Lyanno),Favian Lovo,57,25/10/2019,latin,reggaeton,79%,77%,1,36%,77%,105,227
Complacerte,Joyce Santana,31,24/05/2019,latin,reggaeton,73%,58%,1,28%,46%,93,209
Veneno,Manu Durán,33,24/05/2019,latin,reggaeton,85%,46%,0,30%,57%,171,202
Loco Fefo,Italian Somali,45,26/02/2019,latin,reggaeton,90%,84%,1,28%,91%,109,156
Tu No Ta Soltera,Logan Romero,40,17/04/2019,latin,reggaeton,77%,55%,1,15%,12%,92,263
Mentira,Joniel El Lethal,30,15/11/2019,latin,reggaeton,72%,72%,0,23%,73%,96,196
Sígueme Bailando,Jantony,40,1/11/2019,latin,reggaeton,79%,65%,1,55%,60%,90,186
Disimula,Sitoonce,33,14/06/2019,latin,reggaeton,78%,77%,0,76%,72%,175,223
Amor De Colegio,"Héctor ""El Father""",40,1/01/2005,latin,reggaeton,80%,82%,1,43%,93%,92,187
Zun Da Da,Zion,0,5/06/2007,latin,reggaeton,77%,76%,0,14%,60%,88,303
Linda Estrella (feat. Baby Rasta y Gringo),Noriega,0,5/08/2014,latin,reggaeton,75%,53%,0,19%,85%,75,174
Nadie Sabe,Cheka featuring Michael Stuart,15,1/01/2008,latin,reggaeton,77%,57%,0,6%,57%,90,204
Hipnotízame,Wisin & Yandel,0,1/01/2012,latin,reggaeton,79%,81%,0,13%,60%,79,243
Abusadora,Wisin & Yandel,1,1/01/2009,latin,reggaeton,78%,79%,0,50%,19%,114,180
Sexo Seguro,"Franco ""El Gorilla""",39,1/01/2009,latin,reggaeton,74%,88%,0,12%,57%,97,218
Besos Mojados,Wisin & Yandel,37,1/01/2009,latin,reggaeton,65%,81%,1,14%,36%,95,264
Ahora Es,Wisin & Yandel,64,1/01/2007,latin,reggaeton,82%,78%,0,11%,71%,9,206
Tocarte Toa (feat. Natya),Big Yamo,2,10/06/2013,latin,reggaeton,86%,90%,1,98%,83%,100,202
Me Estas Tentando - Remix,Wisin & Yandel,0,1/01/2009,latin,reggaeton,82%,90%,0,48%,81%,116,264
Te Siento,Wisin & Yandel,0,15/06/2010,latin,reggaeton,71%,80%,1,43%,43%,109,257
Quiro Saber,Ivy Queen,41,24/07/2009,latin,reggaeton,85%,91%,0,58%,85%,95,171
El Telefono,"Héctor ""El Father""",25,1/01/2007,latin,reggaeton,80%,74%,0,11%,52%,90,235
Sexy Robotica,Don Omar,0,1/01/2009,latin,reggaeton,74%,87%,1,33%,56%,112,233
Permitame,Tony Dize,49,1/01/2012,latin,reggaeton,62%,66%,1,17%,90%,214,186
Camuflaje,Alexis y Fido,61,21/03/2011,latin,reggaeton,74%,82%,0,6%,83%,82,218
Lo Que No Sabes Tú,Chino & Nacho,0,1/01/2009,latin,reggaeton,70%,90%,0,76%,88%,160,231
Quizas,Tony Dize,1,1/01/2006,latin,reggaeton,77%,67%,1,7%,91%,89,186
Salio El Sol,Don Omar,0,1/01/2006,latin,reggaeton,88%,72%,0,84%,96%,110,317
Virtual Diva,Don Omar,57,1/01/2009,latin,reggaeton,78%,87%,0,49%,69%,114,242
Sexo En La Playa,Ñejo & Dalmata,51,1/01/2007,latin,reggaeton,79%,71%,1,49%,61%,94,218
Algo Musical,Ñejo & Dalmata,53,1/01/2007,latin,reggaeton,88%,64%,1,10%,71%,107,234
Hoy Me Atrevo,Ñejo & Dalmata,45,1/01/2007,latin,reggaeton,85%,85%,1,15%,81%,98,208
Sexy Movimiento,Wisin & Yandel,52,1/01/2013,latin,reggaeton,82%,76%,0,38%,74%,104,213
Algo Me Gusta De Ti,Wisin & Yandel,69,1/01/2012,latin,reggaeton,63%,77%,0,33%,24%,127,274
Bien Loco,Nova,1,26/06/2009,latin,reggaeton,72%,82%,1,34%,75%,169,217
Algo Musical (feat. Arcángel),Ñejo & Dalmata,0,19/02/2013,latin,reggaeton,88%,65%,1,69%,75%,107,237
Ojitos Chiquitos,Don Omar,68,1/01/2006,latin,reggaeton,80%,84%,0,24%,79%,170,229
5 Letras,Alexis y Fido,56,20/08/2012,latin,reggaeton,82%,77%,0,17%,67%,93,196
La Locura Automática - Reggaeton,La Secta,40,1/01/2006,latin,reggaeton,55%,75%,1,11%,71%,92,247
Irresistible,Wisin & Yandel,0,1/01/2010,latin,reggaeton,77%,70%,0,66%,47%,124,187
Metele Sazon,Tego Calderon,0,1/01/2004,latin,reggaeton,83%,41%,0,72%,92%,95,242
Ven Conmigo,Daddy Yankee,62,1/01/2012,latin,reggaeton,78%,84%,0,40%,71%,120,219
Ven Bailalo,Angel Y Khriz,1,28/12/2011,latin,reggaeton,68%,92%,0,37%,72%,97,252
Fantasma - Main,Zion,0,1/01/2007,latin,reggaeton,64%,69%,0,12%,77%,184,234
Regalame Una Noche,J Alvarez,47,6/04/2010,latin,reggaeton,72%,64%,0,4%,66%,89,249
Pa'que La Pases Bien,Arcangel,1,12/03/2009,latin,reggaeton,86%,76%,1,20%,53%,110,210
"No Se De Ella ""My Space""",Don Omar,0,1/01/2006,latin,reggaeton,82%,68%,0,93%,77%,88,222
Ayer La Vi,Don Omar,0,1/01/2006,latin,reggaeton,80%,72%,0,54%,77%,94,251
Pegao,Wisin & Yandel,0,1/01/2007,latin,reggaeton,80%,81%,1,27%,80%,96,233
Blue Zone,Don Omar,0,1/01/2009,latin,reggaeton,80%,71%,0,54%,48%,9,211
Na De Na,Angel Y Khriz,59,1/01/2008,latin,reggaeton,88%,89%,1,13%,69%,119,202
Obsesion,Aventura,73,1/06/2002,latin,reggaeton,80%,56%,0,40%,77%,133,254
El Malo,Aventura,71,9/06/2009,latin,reggaeton,81%,51%,1,53%,70%,125,238
La Boda,Aventura,66,26/04/2005,latin,reggaeton,77%,63%,0,48%,77%,130,289
More,Zion,2,27/05/2013,latin,reggaeton,69%,76%,0,88%,86%,171,240
Yo Quiero Bailar,Ivy Queen,56,10/11/2009,latin,reggaeton,74%,85%,1,10%,69%,94,184
Pasarela,DJ Nelson,0,1/01/2008,latin,reggaeton,79%,84%,1,62%,51%,95,227
Hooka,Don Omar,49,1/01/2010,latin,reggaeton,73%,86%,1,16%,82%,170,237
RX,Don Omar,49,1/01/2010,latin,reggaeton,70%,87%,0,28%,91%,180,225
A Lo Moderno,Yelsid,0,15/03/2008,latin,reggaeton,76%,64%,0,19%,76%,171,237
Vengo Acabando,Wisin & Yandel,0,1/01/2012,latin,reggaeton,80%,84%,1,86%,40%,102,231
Hola Beba,Farruko,57,4/12/2010,latin,reggaeton,75%,53%,0,53%,60%,86,216
Nena Fichu,Farruko,0,28/08/2015,latin,reggaeton,70%,69%,0,49%,83%,171,208
Web Cam,Farruko,0,28/08/2015,latin,reggaeton,75%,70%,1,49%,58%,81,206
"Sexo, Sudor y Calor (feat. Ñejo & Dalmata)",J Alvarez,1,20/09/2011,latin,reggaeton,74%,89%,1,53%,96%,167,250
La Pregunta Remix (feat. Tito El Bambino & Daddy Yankee),J Alvarez,47,15/05/2012,latin,reggaeton,74%,73%,0,74%,84%,171,274
Junto Al Amanecer,J Alvarez,60,16/11/2010,latin,reggaeton,61%,70%,0,38%,77%,169,250
Lentamente,J Alvarez,15,27/01/2015,latin,reggaeton,64%,73%,0,60%,46%,17,227
Actua,J Alvarez,0,17/10/2014,latin,reggaeton,72%,82%,0,45%,81%,83,210
Deja (feat. Nejo Y Dalmata),J Alvarez,0,17/10/2014,latin,reggaeton,75%,76%,1,14%,74%,81,276
Bailarina,J Alvarez,0,17/10/2014,latin,reggaeton,44%,73%,0,38%,74%,8,227
Alucinándote,J Alvarez,27,26/04/2012,latin,reggaeton,80%,91%,0,9%,58%,96,257
Eso En 4 No Se Ve (feat. Nejo Y Dalmata & Luigi 21 Plus),J Alvarez,47,14/06/2013,latin,reggaeton,84%,71%,1,13%,84%,91,271
Prrrum - Remix,Cosculluela,0,25/09/2015,latin,reggaeton,86%,77%,1,29%,73%,90,253
Señal de Vida - Radio Edit,Ñejo,32,19/06/2013,latin,reggaeton,79%,69%,0,56%,70%,85,240
Hasta Verla Sin Ná,Tony Dize,0,7/04/2015,latin,reggaeton,74%,79%,0,49%,69%,93,213
Solos (feat. Plan B),Tony Dize,0,20/09/2010,latin,reggaeton,74%,70%,0,13%,96%,83,189
Bartender,Alexis y Fido,39,5/08/2014,latin,reggaeton,83%,74%,0,71%,30%,115,174
Mala Conducta,Alexis y Fido,36,3/03/2014,latin,reggaeton,71%,84%,0,92%,96%,176,257
Rescate,Alexis y Fido,28,3/03/2014,latin,reggaeton,66%,88%,1,60%,65%,179,252
Llegamos A La Disco,Daddy Yankee,60,1/01/2012,latin,reggaeton,73%,79%,1,25%,78%,89,453
Gasolina,Daddy Yankee,1,13/07/2004,latin,reggaeton,86%,79%,1,56%,75%,96,192
Se Aloca,Reykon,0,25/09/2010,latin,reggaeton,86%,69%,1,15%,88%,98,229
Señorita,Reykon,0,25/09/2010,latin,reggaeton,54%,86%,1,11%,77%,89,206
La Santa,Reykon,0,26/09/2012,latin,reggaeton,76%,75%,0,19%,66%,180,206
Tu Cuerpo Me Llama,Reykon,0,27/09/2011,latin,reggaeton,77%,73%,1,12%,97%,191,246
Te Gateo,Reykon,0,23/03/2011,latin,reggaeton,75%,51%,1,19%,96%,87,239
Sin Compromiso (Remix),J Balvin,0,25/03/2011,latin,reggaeton,73%,93%,1,93%,79%,98,247
Hola Que Tal,J Balvin,0,25/03/2011,latin,reggaeton,73%,87%,0,4%,62%,117,237
Ella Me Cautivo,J Balvin,0,7/05/2010,latin,reggaeton,82%,77%,1,41%,90%,106,254
Curiosidad,Nicky Jam,35,4/11/2014,latin,reggaeton,77%,66%,0,17%,89%,75,204
Imaginate,Wisin & Yandel,40,1/01/2009,latin,reggaeton,60%,90%,0,13%,23%,125,284
Good Looking,Don Omar,47,1/01/2010,latin,reggaeton,66%,88%,0,16%,76%,92,258
En Su Nota,Don Omar,1,1/01/2006,latin,reggaeton,66%,84%,0,27%,88%,192,219
Pegamos Tela,Lérica,49,16/01/2020,latin,reggaeton,68%,86%,1,78%,86%,169,187
Zorra,Bad Gyal,77,12/12/2019,latin,reggaeton,64%,65%,1,19%,74%,176,186
Ojos Que No Ven,Kexxy Pardo,46,9/01/2020,latin,reggaeton,77%,60%,1,16%,86%,175,182
Ella,Sky Rompiendo,57,10/01/2020,latin,reggaeton,85%,81%,0,11%,44%,104,122
Perreo,Kexxy Pardo,43,5/12/2019,latin,reggaeton,77%,83%,0,97%,74%,89,192
TAKIKARDIA,Kenny Man,46,6/12/2019,latin,reggaeton,86%,83%,1,61%,75%,95,209
Dame Bien,Mala Rodríguez,58,25/10/2019,latin,reggaeton,75%,78%,0,20%,54%,9,214
Santa María (Feat. Busy Signal),Bad Gyal,65,5/07/2019,latin,reggaeton,76%,60%,1,33%,43%,142,154
Mañana No Hay Clase (24/7),Sebastian Yatra,71,24/10/2019,latin,reggaeton,78%,73%,1,19%,82%,179,202
badwine - Extended Remix,Feid,67,18/10/2019,latin,reggaeton,77%,76%,1,21%,73%,186,248
Boomerang,Lalo Ebratt,58,10/10/2019,latin,reggaeton,60%,66%,0,9%,92%,92,181
Disfraza,IAmChino,44,6/12/2019,latin,reggaeton,51%,79%,0,33%,66%,97,167
Camellando,Yera,55,31/10/2019,latin,reggaeton,71%,76%,1,53%,85%,98,211
F.O.K. Friends,Nacho,51,20/09/2019,latin,reggaeton,84%,80%,1,10%,71%,101,182
Ahora Me Toca,Juan Magán,51,19/07/2019,latin,reggaeton,65%,71%,1,34%,45%,94,212
Fugitivo,Maikel Delacalle,59,11/07/2019,latin,reggaeton,61%,66%,0,19%,15%,172,193
Chicharrón,Guaynaa,76,16/08/2019,latin,reggaeton,73%,79%,0,45%,81%,76,195
Lola Bunny,Lola Indigo,69,30/07/2019,latin,reggaeton,77%,90%,0,50%,87%,94,187
Bellaquita,Dalex,82,6/09/2019,latin,reggaeton,58%,70%,1,11%,77%,166,204
WFT,Trapical,43,29/08/2019,latin,reggaeton,67%,75%,1,71%,96%,149,188
Rebota - Remix,Guaynaa,78,12/07/2019,latin,reggaeton,89%,86%,0,20%,82%,90,262
Vacilón,Don Omar,61,16/08/2019,latin,reggaeton,73%,52%,0,82%,69%,82,177
